SEASON,PLAYER,DPOY_VOTE_GETTER,DPOY_WINNER
2022,Jaren Jackson Jr.,YES,YES
2022,Brook Lopez,YES,
2022,Evan Mobley,YES,
2022,Draymond Green,YES,
2022,Bam Adebayo,YES,
2022,Giannis Antetokounmpo,YES,
2022,OG Anunoby,YES,
2022,Jrue Holiday,YES,
2022,Joel Embiid,YES,
2022,Nic Claxton,YES,
2022,Alex Caruso,YES,
2022,Jimmy Butler,YES,
2023,Rudy Gobert,YES,YES
2023,Victor Wembanyama,YES,
2023,Bam Adebayo,YES,
2023,Anthony Davis,YES,
2023,Herbert Jones,YES,
2023,Jrue Holiday,YES,
2023,Shai Gilgeous-Alexander,YES,
2023,Derrick White,YES,
2023,Giannis Antetokounmpo,YES,
2023,Jarrett Allen,YES,
2023,Alex Caruso,YES,
2023,Domantas Sabonis,YES,
2023,Jalen Suggs,YES,
2021,Marcus Smart,YES,YES
2021,Mikal Bridges,YES,
2021,Rudy Gobert,YES,
2021,Bam Adebayo,YES,
2021,Jaren Jackson Jr.,YES,
2021,Giannis Antetokounmpo,YES,
2021,Robert Williams,YES,
2021,Jrue Holiday,YES,
2021,Al Horford,YES,
2021,Draymond Green,YES,
2021,Matisse Thybulle,YES,
2020,Rudy Gobert,YES,YES
2020,Ben Simmons,YES,
2020,Draymond Green,YES,
2020,Bam Adebayo,YES,
2020,Giannis Antetokounmpo,YES,
2020,Clint Capela,YES,
2020,Joel Embiid,YES,
2020,Jrue Holiday,YES,
2020,Myles Turner,YES,
2020,Jimmy Butler,YES,
2020,Kentavious Caldwell-Pope,YES,
2020,Matisse Thybulle,YES,
2019,Giannis Antetokounmpo,YES,YES
2019,Anthony Davis,YES,
2019,Rudy Gobert,YES,
2019,Ben Simmons,YES,
2019,Bam Adebayo,YES,
2019,Patrick Beverley,YES,
2019,Marcus Smart,YES,
2019,Andre Drummond,YES,
2019,Kawhi Leonard,YES,
2019,Brook Lopez,YES,
2019,Hassan Whiteside,YES,
2019,Jarrett Allen,YES,
2018,Rudy Gobert,YES,YES
2018,Giannis Antetokounmpo,YES,
2018,Paul George,YES,
2018,Joel Embiid,YES,
2018,Myles Turner,YES,
2018,Draymond Green,YES,
2018,Kawhi Leonard,YES,
2018,Marcus Smart,YES,
2018,Jarrett Allen,YES,
2018,Patrick Beverley,YES,
2017,Rudy Gobert,YES,YES
2017,Joel Embiid,YES,
2017,Anthony Davis,YES,
2017,Paul George,YES,
2017,Al Horford,YES,
2017,Draymond Green,YES,
2017,Jrue Holiday,YES,
2017,Robert Covington,YES,
2017,Kevin Durant,YES,
2017,Jaylen Brown,YES,
2017,Klay Thompson,YES,
2017,Steven Adams,YES,
2017,Jimmy Butler,YES,
2017,Clint Capela,YES,
2017,Andre Drummond,YES,
2017,Jusuf Nurkic,YES,
2017,Victor Oladipo,YES,
2016,Draymond Green,YES,YES
2016,Rudy Gobert,YES,
2016,Kawhi Leonard,YES,
2016,Robert Covington,YES,
2016,LeBron James,YES,
2016,Andre Roberson,YES,
2016,Hassan Whiteside,YES,
2016,LaMarcus Aldridge,YES,
2016,Patrick Beverley,YES,
2015,Kawhi Leonard,YES,YES
2015,Draymond Green,YES,
2015,Hassan Whiteside,YES,
2015,DeAndre Jordan,YES,
2015,Paul Millsap,YES,
2015,Avery Bradley,YES,
2015,Rudy Gobert,YES,
2015,Tony Allen,YES,
2015,Anthony Davis,YES,
2015,Andre Drummond,YES,
2015,Jimmy Butler,YES,
2015,LeBron James,YES,
2015,Trevor Ariza,YES,
2015,Jae Crowder,YES,
2015,Al Horford,YES,
2015,Kyle Lowry,YES,
2015,Chris Paul,YES,